기준일ID,시군구코드,시군구명,인구수,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20221105,11110,종로구,299,299711.6286,269531.1395,17687.869,12492.6201,420491.3983,229367.8299,368107.3021,250857.5762,253376.9511,88685.1264,28580.2546,136111.5701
20221105,11140,중구,268,268413.4217,215788.9233,17730.5069,34893.9915,344814.2942,209744.7507,321168.3035,230731.3633,204500.4984,63200.6201,26755.0629,114544.8154
20221105,11170,용산구,296,296264.2489,272201.6028,16908.7793,7153.8669,326482.8175,274015.5366,313517.5125,283940.4892,166080.494,51253.1096,41897.089,72930.2954
20221105,11200,성동구,346,346978.2575,327533.3117,16690.448,2754.4978,365868.2481,332101.4179,354076.2544,341908.2597,179253.0773,41237.6455,54451.915,83563.5168
20221105,11215,광진구,385,385909.7098,360337.6724,22446.5917,3125.4457,395090.8185,376791.2038,379787.5538,390282.6784,168555.0409,38592.6934,70825.0044,59137.3431
20221105,11230,동대문구,368,368900.7797,338741.0759,26489.9082,3669.7956,382714.932,347329.1193,361452.3735,374221.0698,158158.3161,29415.4481,66154.1161,62588.7519
20221105,11260,중랑구,355,355479.9683,348568.3766,6035.6711,875.9207,381672.7854,321312.0674,333545.64,371147.3457,137544.9079,24244.5352,80222.7633,33077.6094
20221105,11290,성북구,431,431017.1784,413372.0429,15375.6618,2269.4737,458297.2375,396240.8721,408139.7163,447358.2228,160335.1619,23762.582,77621.0845,58951.4954
20221105,11305,강북구,292,292340.6891,286230.5939,5291.2403,818.8549,311775.5448,269877.3701,276734.2867,303488.1194,164349.4991,14282.4667,107796.5223,42270.5101
20221105,11320,도봉구,272,272197.8771,268835.3313,2797.7616,564.7843,287003.852,253689.7379,260107.5912,280833.7956,118208.7959,20450.7045,60801.2558,36956.8356
20221105,11350,노원구,496,496773.3266,490571.246,5345.4274,856.6532,524613.2303,465438.1197,474880.6716,512410.9374,184772.1368,35027.4977,102121.3842,47623.2549
20221105,11380,은평구,438,438222.4935,431026.4249,5781.2051,1414.8636,472788.1181,396720.7967,409879.826,458467.256,154365.3461,30676.9038,90862.2635,32826.1788
20221105,11410,서대문구,368,368585.6471,338042.1221,20654.6456,9888.8794,381234.9346,353391.9997,361058.9441,373961.8636,163965.5894,34391.1048,61284.7419,68289.7427
20221105,11440,마포구,480,480527.5056,441547.4328,21681.0742,17298.9985,524957.8849,445320.3227,495767.008,469642.1467,260147.0834,73757.7621,73223.5322,113165.7891
20221105,11470,양천구,372,372456.9266,367064.9978,4581.9429,809.9858,389468.7047,351553.6239,358420.5507,382482.9094,146115.5064,27471.3982,68353.497,50290.6112
20221105,11500,강서구,541,541706.7068,527334.4505,8817.1061,5555.1502,563374.8951,514222.2417,526331.0221,552689.3388,219110.0183,60227.5425,105921.9514,52960.5244
20221105,11530,구로구,412,412564.0332,376113.7374,31036.2616,5414.0343,428797.8874,390776.2671,401773.4821,420271.5696,186843.1688,62065.554,71147.3756,53630.2392
20221105,11545,금천구,214,214881.4101,196535.3636,16113.8415,2232.205,221280.1227,206679.6207,210765.2167,217821.5483,98584.6144,31218.5925,39203.9585,28162.0634
20221105,11560,영등포구,485,485714.1622,436371.0961,39860.0458,9483.0202,534306.5284,451602.7585,507075.5301,470456.0422,276527.1519,80684.507,88657.4176,107185.2273
20221105,11590,동작구,396,396931.108,379475.2934,15129.4465,2326.3682,418314.6257,368080.8299,379326.9098,409505.5354,153548.4983,31934.4882,62695.5672,58918.4429
20221105,11620,관악구,488,488649.2549,465868.5006,20311.0335,2469.7208,528660.4255,443318.9949,457736.4159,510729.8542,178736.2412,34232.6243,91391.5426,53112.0743
20221105,11650,서초구,531,531617.2656,513438.0928,12238.2846,5940.8882,595662.8413,474745.7522,578771.3946,497935.7449,307086.3635,104792.369,72780.7295,129513.265
20221105,11680,강남구,769,769425.3318,732204.8789,17956.9647,19263.4882,886469.2605,675752.5308,850779.6005,711315.1399,457278.4074,147525.6346,113396.5803,196356.1925
20221105,11710,송파구,746,746037.3853,728366.6105,13005.7908,4664.984,766138.9441,725850.164,753604.2233,740632.501,343443.9244,106298.9113,142468.0783,94676.9348
20221105,11740,강동구,505,505806.2515,495803.1474,8778.4622,1224.6418,537124.0213,466574.4571,479052.2911,524916.2232,220034.7905,43305.7487,139086.0422,37642.9996
