????,???,????????,????????,????,??,??????
????¢¥?????,"????????? ????? ???????47?? 12, 1?? (??????)",02-988-8979,2020-01-01,37.60894036,127.029052,????2??
??????¢¥?????,"????????? ????? ????? 248, ????????? 102?, 102-1? (??????)",02-967-5555,2020-01-01,37.61040424,127.0569046,??????
????????,????????? ????? ????? 123 ????????,02-927-0242,2020-01-01,37.60101417,127.0331664,?????
????,"????????? ????? ??????? 9, ????????? 2?? 202? (???????6??)",02-921-9131,2020-01-01,37.59373053,127.0159792,??????
???,"????????? ????? ?????? 20, ?????????,????????3??????? ?? 3?? 315? (??????)",02-913-3020,2020-01-01,37.60475389,127.0230392,????1??
?????,"????????? ????? ?????? 2, 1?? (????5??)",02-3291-1905,2020-01-01,37.58650918,127.0294735,????
???????,"????????? ????? ??????? 125, ?????? 1?? 101? (??????4??)",02-921-9971,2020-01-01,37.59415547,127.0182168,??????
???????,"????????? ????? ??????? 16, 1?? 104? (??????4??)",02-921-1246,2020-01-01,37.59423501,127.0165047,??????
??????,"????????? ????? ??????? 106, ??? 6?? (??????1??)",02-927-6265,2020-01-01,37.5925735,127.0170886,??????
?????????,????????? ????? ??????9?? 50 ?????????,070-4402-4565,2020-01-01,37.60269641,127.0209503,????1??
????¬à?,"????????? ????? ???????3?? 4, ??????? 1?? (???????1??)",02-762-6300,2020-01-01,37.58910393,127.0066168,?????
???????????,"????????? ????? ???????? 33, 1?? 106? (??????)",,2020-01-01,37.60737578,127.0101247,????2??
???¥î?,"????????? ????? ??????? 127-2, 1?? (??????4??)",02-929-8937,2020-01-01,37.5944185,127.0185882,??????
???????,"????????? ????? ?????? 33, ??B?? ???? 17,18,19? (??????, ?????????)",02-912-5148,2020-01-01,37.60504961,127.022011,????1??
??????,"????????? ????? ??????? 248, 102?? 314-1? (??????, ??¥î????)",02-915-0022,2020-01-01,37.60346697,127.0245563,????1??
??????,"????????? ????? ?????? 123, 1?? (??????2??)",02-921-3844,2020-01-01,37.5859924,127.018731,??????
???????,"????????? ????? ????? 61, 1?? (?????)",02-909-8144,2020-01-01,37.60264852,127.0392054,????2??
??????,"????????? ????? ?????19?? 17, ???????? 1?? (?????)",02-921-9233,2020-01-01,37.59816326,127.0337585,?????
?????,"????????? ????? ?????? 58, 1?? (??????)",02-915-0690,2020-01-01,37.61381947,127.0429806,????1??
?£Ú??,????????? ????? ??????? 190 ?£Ú??,02-929-3069,2020-01-01,37.59889042,127.0220907,????1??
?????????,????????? ????? ???????46?? 18 ?????????,02-942-3365,2020-01-01,37.60684624,127.0299391,????2??
?????¢¥?????,"????????? ????? ?????? 274, 1?? (??????)",02-916-8373,2020-01-01,37.60318761,127.0137843,????1??
?????????,"????????? ????? ??????13?? 8, 1?? (????2??)",02-928-4545,2020-01-01,37.58699702,127.0236768,????
?????,"????????? ????? ??????? 305, ???? (??????)",02-945-7650,2020-01-01,37.60737284,127.0282179,????2??
????¥î?,????????? ????? ?????40?? 54 (??????),02-962-5446,2020-01-01,37.61345289,127.0644864,??????
????,"????????? ????? ????? 844, ??? ?????? 102-1? (?????, ?????? ???? ?????)",02-926-1860,2020-01-01,37.59738445,127.0193227,????2??
???????,????????? ????? ?????? 103 ?????? ??,02-911-0175,2020-01-01,37.61086348,127.0179762,????1??
??????,"????????? ????? ???????? 45, 1?? (??????)",02-914-3982,2020-01-01,37.60854349,127.0097715,????4??
??????,"????????? ????? ??????? 10, 1?? (???????2??, ?????????)",02-747-6464,2020-01-01,37.58873268,127.0073324,?£Ñ??
????????,"????????? ????? ?????? 183, 2?? (?£Ñ??4??, ????????)",02-922-8874,2020-01-01,37.59017717,127.0147873,?£Ñ??
W????? ????????,"????????? ????? ??????? 34, 1?? (???????3??, ????????)",02-921-1255,2020-01-01,37.58982089,127.0098778,?£Ñ??
????¢¥?????,"????????? ????? ??????? 14-1, 1?? (???????2??, ?¥ì?????)",,2020-01-01,37.58898852,127.0078895,?£Ñ??
???????,"????????? ????? ??????? 25 (??????, ????)",02-969-0566,2020-01-01,37.60665405,127.0610377,??????
?¥è???,"????????? ????? ??????? 37, 1?? (??????, ????????)",02-969-3394,2020-01-01,37.60746535,127.0602456,??????
