업소명,소재지,위도,경도,전화번호
송도주유소,인천광역시 연수구 능허대로 137(옥련동),37.427507 ,126.648354 ,032-833-5189
송화주유소,인천광역시 연수구 앵고개로 121(동춘동),37.413231 ,126.659124 ,032-832-5156
연수주유소,인천광역시 연수구 청능대로 46(동춘동),37.416836 ,126.671818 ,032-819-1151
송도신도시주유소,인천광역시 연수구 아암대로 809(동춘동),37.396918 ,126.661000 ,032-833-0405
명품셀프주유소,인천광역시 연수구 매소홀로 710(선학동),37.438592 ,126.701351 ,032-434-5189
선학제일주유소,인천광역시 연수구 경원대로 556(선학동),37.433917 ,126.698279 ,032-433-5188
지에스칼텍스(주)선학로주유소,인천광역시 연수구 경원대로 515(선학동),37.430122 ,126.698485 ,032-815-5189
현대오일뱅크㈜ 직영 송도역주유소,인천광역시 연수구 비류대로 199(옥련동),37.428198 ,126.656744 ,032-832-6111
원천제3주유소,인천광역시 연수구 비류대로 223(옥련동),37.427532 ,126.659555 ,032-832-5181
지에스칼텍스(주)연수시티주유소,인천광역시 연수구 먼우금로 200(연수동),37.414782 ,126.677065 ,032-813-5184
크로바주유소,인천광역시 연수구 한나루로 92(옥련동),37.422125 ,126.648166 ,032-834-8500
현대오일뱅크㈜ 직영 인천대교주유소,인천광역시 연수구 아암대로 815(동춘동),37.396381 ,126.661557 ,032-833-7020
㈜서해에너지,인천광역시 연수구 경원대로 536(선학동),37.432050 ,126.699115 ,032-822-8858
아시아셀프주유소,인천광역시 연수구 한나루로 131(옥련동),37.422914 ,126.652357 ,032-859-5151
(주)북서울에너지 선학현대주유소,인천광역시 연수구 경원대로 539(선학동),37.432187 ,126.697920 ,032-812-5144
로드801 주식회사,인천광역시 연수구 아암대로 801(동춘동),37.397527 ,126.660403 ,032-813-2000
